# TSIS-1 Hybrid Solar Reference Spectrum (HSRS) v1 — B11 + B12 wavelength ranges.
# Source: Coddington et al. 2021, Geophys. Res. Lett. 48, e2020GL091709 (doi:10.1029/2020GL091709).
#   Downloaded from LASP LISIRD (lasp.colorado.edu/lisird/data/tsis1_hsrs) via the LaTiS CSV API
#   on 2026-07-07. Ranges: 1530-1690 nm (B11) and 2070-2330 nm (B12); native 0.001 nm resolution
#   decimated to ~0.02 nm here (the CH4 fine structure comes from HITRAN, not the solar envelope).
# irradiance is solar spectral irradiance E_lambda in W/m^2/nm at 1 AU. The LUT generator converts
#   the SHAPE to per-wavenumber E_nu via the lambda^2 Jacobian (E_nu ∝ E_lambda·lambda^2) before use.
# wavelength in nm; irradiance in W m^-2 nm^-1.
wavelength_nm,irradiance_w_m2_nm
1541.920,2.745286e-01
1541.940,2.734035e-01
1541.960,2.742960e-01
1541.980,2.746502e-01
1542.000,2.728270e-01
1542.020,2.737142e-01
1542.040,2.732634e-01
1542.060,2.737431e-01
1542.080,2.749349e-01
1542.100,2.752416e-01
1542.120,2.752914e-01
1542.140,2.752392e-01
1542.160,2.750820e-01
1542.180,2.746911e-01
1542.200,2.733511e-01
1542.220,2.731829e-01
1542.240,2.732697e-01
1542.260,2.750442e-01
1542.280,2.751535e-01
1542.300,2.750944e-01
1542.320,2.746222e-01
1542.340,2.709004e-01
1542.360,2.686338e-01
1542.380,2.741545e-01
1542.400,2.749110e-01
1542.420,2.749814e-01
1542.440,2.749224e-01
1542.460,2.747992e-01
1542.480,2.746071e-01
1542.500,2.743214e-01
1542.520,2.738727e-01
1542.540,2.731098e-01
1542.560,2.716762e-01
1542.580,2.688229e-01
1542.600,2.643487e-01
1542.620,2.543074e-01
1542.640,2.293928e-01
1542.660,2.345059e-01
1542.680,2.542952e-01
1542.700,2.616970e-01
1542.720,2.697640e-01
1542.740,2.711807e-01
1542.760,2.663192e-01
1542.780,2.717501e-01
1542.800,2.739425e-01
1542.820,2.744435e-01
1542.840,2.745861e-01
1542.860,2.745325e-01
1542.880,2.741950e-01
1542.900,2.728772e-01
1542.920,2.713820e-01
1542.940,2.738055e-01
1542.960,2.745477e-01
1542.980,2.748161e-01
1543.000,2.749415e-01
1543.020,2.746744e-01
1543.040,2.736706e-01
1543.060,2.729594e-01
1543.080,2.730285e-01
1543.100,2.737122e-01
1543.120,2.732824e-01
1543.140,2.742751e-01
1543.160,2.729872e-01
1543.180,2.672653e-01
1543.200,2.711355e-01
1543.220,2.743072e-01
1543.240,2.748579e-01
1543.260,2.749896e-01
1543.280,2.750311e-01
1543.300,2.750455e-01
1543.320,2.750482e-01
1543.340,2.750450e-01
1543.360,2.750390e-01
1543.380,2.750330e-01
1543.400,2.750270e-01
1543.420,2.750189e-01
1543.440,2.750123e-01
1543.460,2.750035e-01
1543.480,2.749948e-01
1543.500,2.749888e-01
1543.520,2.749795e-01
1543.540,2.749571e-01
1543.560,2.747079e-01
1543.580,2.733071e-01
1543.600,2.732929e-01
1543.620,2.746789e-01
1543.640,2.749142e-01
1543.660,2.749189e-01
1543.680,2.746961e-01
1543.700,2.715436e-01
1543.720,2.737385e-01
1543.740,2.748692e-01
1543.760,2.748726e-01
1543.780,2.748430e-01
1543.800,2.745355e-01
1543.820,2.706320e-01
1543.840,2.725127e-01
1543.860,2.746803e-01
1543.880,2.747564e-01
1543.900,2.746917e-01
1543.920,2.744903e-01
1543.940,2.735729e-01
1543.960,2.721451e-01
1543.980,2.741836e-01
1544.000,2.745643e-01
