# Sentinel-2 MSI B11/B12 spectral response functions (S2A + S2B), normalized.
# Source: ESA "Sentinel-2 Spectral Response Functions (S2-SRF)",
#   document COPE-GSEG-EOPG-TN-15-0007, issue 3.2 (2022-... , 10 Oct 2023 rev).
#   Downloaded from SentiWiki (sentiwiki.copernicus.eu/web/s2-documents) on 2026-07-06.
# Extracted from sheets 'Spectral Responses (S2A/S2B)', columns SR_WL, *_B11, *_B12.
# Rows restricted to wavelengths where any B11/B12 response is nonzero.
# wavelength in nm; response dimensionless (already normalized to peak 1 by ESA).
wavelength_nm,s2a_b11,s2a_b12,s2b_b11,s2b_b12
2161,0,0.90550545,0,0.9633817
2162,0,0.90564491,0,0.96287807
2163,0,0.90548208,0,0.96252982
2164,0,0.90513822,0,0.96163134
2165,0,0.90476379,0,0.96051578
2166,0,0.90406427,0,0.95934879
2167,0,0.90332978,0,0.95816596
2168,0,0.90274309,0,0.95676127
2169,0,0.90235795,0,0.95491383
2170,0,0.90196488,0,0.95287555
2171,0,0.90340528,0,0.95386662
2172,0,0.90429478,0,0.95498503
2173,0,0.90529761,0,0.9555239
2174,0,0.90642862,0,0.95548083
2175,0,0.90807348,0,0.9551674
2176,0,0.91010493,0,0.95442758
2177,0,0.91293181,0,0.95327341
2178,0,0.91556686,0,0.95194429
2179,0,0.91842631,0,0.95041866
2180,0,0.92128288,0,0.9484181
2181,0,0.92431702,0,0.94839027
2182,0,0.92719913,0,0.94838056
2183,0,0.92972159,0,0.94813039
2184,0,0.93190455,0,0.94753901
2185,0,0.93412538,0,0.94645196
2186,0,0.93588954,0,0.94504703
2187,0,0.93707083,0,0.9433144
2188,0,0.93762594,0,0.94197531
2189,0,0.93828534,0,0.94049427
2190,0,0.93763643,0,0.93875727
2191,0,0.94042634,0,0.94132922
2192,0,0.94250397,0,0.9436129
2193,0,0.94324531,0,0.94558364
2194,0,0.94301861,0,0.94711284
2195,0,0.94210283,0,0.94831802
2196,0,0.94061808,0,0.94945878
2197,0,0.93841726,0,0.95060227
2198,0,0.93665003,0,0.95182631
2199,0,0.93524569,0,0.95345901
2200,0,0.93301102,0,0.95510105
2201,0,0.92686708,0,0.95225316
2202,0,0.92104485,0,0.95033203
2203,0,0.91547175,0,0.94956701
2204,0,0.91100989,0,0.94895037
2205,0,0.90828339,0,0.94955832
2206,0,0.9072733,0,0.95152282
2207,0,0.90817907,0,0.95486528
2208,0,0.91115631,0,0.95963437
2209,0,0.91617845,0,0.96607045
2210,0,0.92284525,0,0.97375116
2211,0,0.92059829,0,0.97078626
2212,0,0.91947472,0,0.96900558
2213,0,0.91947973,0,0.96819786
2214,0,0.92126575,0,0.96750837
2215,0,0.92451632,0,0.9674355
2216,0,0.92772589,0,0.96792378
2217,0,0.93196884,0,0.96839035
2218,0,0.93676408,0,0.96883692
2219,0,0.94147739,0,0.9693902
2220,0,0.94679545,0,0.96985301
2221,0,0.95119533,0,0.96898817
2222,0,0.95443018,0,0.96814874
2223,0,0.95704142,0,0.96743874
2224,0,0.95972628,0,0.96638941
2225,0,0.9625372,0,0.96534457
2226,0,0.96485326,0,0.96425351
2227,0,0.96603599,0,0.96281969
2228,0,0.96664138,0,0.96155971
2229,0,0.96630455,0,0.96053251
2230,0,0.96545713,0,0.95926107
2231,0,0.96484036,0,0.95959913
2232,0,0.96365512,0,0.96025143
2233,0,0.96169531,0,0.96154033
2234,0,0.95944859,0,0.96262988
